Reaction_Descrp,Parameter,Values,Units
,T,320,K
,R,8.31446,JK^-1mol^-1
CO,P1,1.00E-08,bar
O2,P2,1.00E-08,bar
CO2,P3,1.00E-08,bar
r1,k1f,8.30E+02,-
,k1r,5.58E-02,-
r2,k2f,7.77E+06,-
,k2r,4.55E+09,-
r3,k3f,1.36E+05,-
,k3r,4.61E-11,-
r4,k4f,1.14E+00,-
,k4r,0.00E+00,-
const,a1f,1.00E+00,-
const,a1r,1.00E+00,-
const,a2f,1.00E+00,-
const,a2r,1.00E+00,-
const,a3f,1.00E+00,-
const,a3r,1.00E+00,-
const,a4f,1.00E+00,-
const,a4r,1.00E+00,-
const,b1f,1.00E+00,-
const,b1r,1.00E+00,-
const,b2f,1.00E+00,-
const,b2r,1.00E+00,-
const,b3f,1.00E+00,-
const,b3r,1.00E+00,-
const,b4f,1.00E+00,-
const,b4r,1.00E+00,-
const,c1f,1.00E+00,-
const,c1r,1.00E+00,-
const,c2f,1.00E+00,-
const,c2r,1.00E+00,-
const,c3f,1.00E+00,-
const,c3r,1.00E+00,-
const,c4f,1.00E+00,-
const,c4r,1.00E+00,-
